category,item_url,item_title,is_bundle,estimated_pattern_count,formats_available,has_ai_instructions_flag,notes
Infographics general bundles,https://app.envato.com/search/graphic-templates/0a3131fd-2775-438c-9fcc-212956c6d51f,Infographics Bundle,yes,5,"AI, EPS, PDF",no,Modern Infographics bundle template Features 4 premium infographics template Editable in adobe illus
Infographics general bundles,https://app.envato.com/search/graphic-templates/d5617769-b68e-46fa-98e2-9dcbb5c1df1f,Bundle 3-7 Circular Pie Chart Diagram Infographic,yes,5,"AI, EPS, JPG, PNG",no,Bundle 3-7 Circular Pie Chart Diagram Infographic Modern & Simple Infographic Template vector illust
Infographics general bundles,https://app.envato.com/search/graphic-templates/57df3a69-de80-4dfd-a8fb-367759e2b16e,Creative Infographics Bundle,yes,5,"AI, EPS, PDF, JPG, PNG, SVG",no,Creative Infographics Bundle Features 4 premium business infographics template Fully Editable Creati
Infographics general bundles,https://app.envato.com/search/graphic-templates/ae21fe58-cf3a-477f-83eb-e272689266cb,Bundle Mockup,yes,5,"PSD, JPG, PDF",no,Bundle Mockup Elevate your design presentation with this premium Mockup. Perfectly crafted to showca
Infographics general bundles,https://app.envato.com/search/graphic-templates/0e7648e6-2fb9-46b9-9a01-26921166339f,Infographic Elements,no,1,"AI, EPS, JPG, PDF, SVG",no,"Infographics Elements Files Include : 01 AI : Illustrator cs, Illustrator cs5, Illustrator 10 02 EPS"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c1f687e7-fcbf-4ef6-b356-910d3e23ef53,Infographic Elements,yes,5,"AI, EPS, JPG, PNG, PDF, SVG",no,"Collection infographic elements data visualization vector design template. Can be used for steps, bu"
Infographics general bundles,https://app.envato.com/search/graphic-templates/098f82f2-affe-4356-94be-bbb94f6fb3a0,Infograf Infographic Element,yes,5,"AI, EPS, PNG, SVG",no,Infograf Infographic Template This is a set of infographic elements to your infograph presentation. 
Infographics general bundles,https://app.envato.com/search/graphic-templates/1f98e4fa-8714-44cd-9194-d508df53cb34,MegaPack Infographic Set 2,yes,240,PSD,no,"Total 2400 elements, 240 Unique elements, 10 color Font FREE: Roboto – download link in Help_file.pd"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c1ab4d32-2f7b-4baa-9403-f38fd1ffc8eb,Cycle Vector Infographic Diagram Templates,no,1,"AI, EPS, JPG",no,A professional business infographic showcasing a modern circular diagram layout on a white backgroun
Infographics general bundles,https://app.envato.com/search/graphic-templates/879037b7-4a61-47bf-b8a8-af4ea712a712,Diagram Infographics,yes,5,"AI, EPS, JPG, PNG",no,"Set of 3d business diagram infographics vector design template. Can be used for workflow processes, "
Infographics general bundles,https://app.envato.com/search/graphic-templates/2f7a7e4d-0802-4a3e-b507-462f50bae8d7,Diagrams & Infographics,no,1,PSD,no,
Infographics general bundles,https://app.envato.com/search/graphic-templates/9308e852-fc6a-4018-a0bb-4c4bd255f038,Diagram Infographics,no,1,"AI, EPS, JPG, PNG",no,20 Diagram Infographics This illustration contains high quality vector illustration with text can be
Infographics general bundles,https://app.envato.com/search/graphic-templates/d5206368-8a8a-49ad-b13a-006bce70b257,vector set of infographics for dashboard,yes,5,"AI, EPS, JPG",no,"vector set of infographics for dashboard Zip folder included AI, EPS vector, infographics, set, info"
Infographics general bundles,https://app.envato.com/search/graphic-templates/fe397839-48fa-4bb9-baa1-be739565e20a,Infographic Set,yes,5,"AI, EPS, JPG, PDF",no,"Infographics Set Design Files Include: AI – 2 AI Files for Illustrator CS, Illustrator CS5 EPS – 2 E"
Infographics general bundles,https://app.envato.com/search/graphic-templates/c172098f-ee37-4598-a05a-42c799ec65f0,Vector Infographics Template,yes,5,"AI, EPS, JPG, PNG",no,"Infographic business data visualization vector design template. Can be used for steps, options, part"
Infographics general bundles,https://app.envato.com/search/graphic-templates/6178286f-08c9-458d-b4fb-8ec2022e8a5a,Vector Elements of Infographics,yes,5,"AI, EPS, JPG",no,"Big set of infographic elements. Can be used for steps, business processes, workflow, diagram, flowc"
Hierarchy progression,https://app.envato.com/search/graphic-templates/7c0ade21-88cd-42bd-b25e-c0644fd22036,Pricing Comparison Chart with Four Tier Plans,no,1,"JPG, PSD, XD",no,Pricing comparison interface with four plan tiers arranged horizontally. Purple gradient background 
Hierarchy progression,https://app.envato.com/search/graphic-templates/9dd8e4f5-8324-44c3-9e0e-c3bfd16de3ea,Pricing Table Infographic,no,10,"AI, EPS",no,Pricing Table Infographic Introducing the Pricing Table Infographic - Transform your information int
Hierarchy progression,https://app.envato.com/search/graphic-templates/b46533ca-d67d-497a-8f6d-f2a4d6014a6d,Pricing Plan Infographic Business Template,no,1,"AI, EPS, JPG, PDF, PSD, SVG",no,Pricing Plan Infographic Business Template is a infographics business template that suitable for you
Hierarchy progression,https://app.envato.com/search/graphic-templates/d20e3282-7657-4f4d-8c8d-2cca61eab64b,Luxurious Infographics,no,1,"AI, EPS, FIG, JPG, PDF, SVG",no,🌟 Elevate your presentations with our Luxurious Infographics File Formats: AI EPS FIG JPG PDF SVG F
Hierarchy progression,https://app.envato.com/search/graphic-templates/ccd9d1ea-d686-439f-aba3-2c434c30d198,Funnel Diagram Infograpahic,yes,20,FIG,no,"Elevate your presentations with our Funnel Diagram Infographic Slides. Perfect for marketing, sales,"
Hierarchy progression,https://app.envato.com/search/graphic-templates/e438d4cd-ee32-4d03-b7e6-f29e4bad94d1,Funnel Infographic,no,8,"AI, EPS",no,Funnel Infographic Need an infographic to easily share your info? The Funnel Infographic has got you
Hierarchy progression,https://app.envato.com/search/graphic-templates/0c9b577c-ad36-4523-8e67-7935877f0ad3,Funnel Diagram Infographic,no,10,"AI, EPS",no,Funnel Diagram Infographic Introducing the Funnel Diagram Infographic - Transform your information i
Hierarchy progression,https://app.envato.com/search/graphic-templates/ee6192a4-4a15-4b1c-bdd9-2fb3e574cad5,Funnel Infographic,no,1,"AI, EPS, FIG, SVG",no,The Funnel Infographic template helps you visualize layered processes and progressive stages with a 
Hierarchy progression,https://app.envato.com/search/graphic-templates/677ab69e-ccba-4403-9ffe-3d8e1b8f4bb1,Ladder – Infographics Design,no,1,"AI, EPS, JPG, PNG, PSD",no,"An awesome, clean, high quality and professional Infographics Design. Awesome Infographics with awes"
Hierarchy progression,https://app.envato.com/search/graphic-templates/0f1b7ae6-1b15-4d64-b53d-7c98467a5252,Venn Diagram Infographics,no,1,AI,no,"Modern Venn diagram infographic templates showcasing various concepts like communication skills, dis"
Hierarchy progression,https://app.envato.com/search/graphic-templates/96ac58d9-1511-4cb6-9ca4-7796dacfa5f1,Venn Diagram Infographic,yes,20,"AI, EPS, FIG",no,Looking for a way to make your presentations more engaging and easy to understand? Say hello to the 
Hierarchy progression,https://app.envato.com/search/graphic-templates/699d120b-380e-4aef-a7bd-4ef414bdd299,Layered Diagram Infographics,no,10,"AI, EPS",no,Layered Business Step Diagram Infographic Introducing the Roadmaps Infographic - Transform your info
Timelines,https://app.envato.com/search/graphic-templates/5d829d30-a835-476a-aa58-0df377eef5e9,Gantt Chart Infographic,no,1,"AI, EPS, FIG, SVG",no,The Gantt Chart Infographic helps you present timelines and project schedules in a clear and structu
Timelines,https://app.envato.com/search/graphic-templates/7ddddf82-4334-4f7a-8526-311184e0fade,Gantt Chart Infographic,no,8,"AI, EPS, AF",no,"Gantt Chart Infographics Template presents a clean and modern visualization system for planning, tra"
Timelines,https://app.envato.com/search/graphic-templates/d6eb2997-048f-4a7b-84e6-5d723418db32,Modern Gantt Chart Infographic | 004,no,3,"AI, EPS",no,"You can easily use this design for your presentation needed, and also you can save more time making "
Timelines,https://app.envato.com/search/graphic-templates/4d657e14-92e5-4b73-8b71-3507e8104aa4,Grey Modern Gantt Chart Infographics,no,1,"AI, EPS",no,Visualize your project timeline with style using this modern Gantt Chart Infographics Template. Desi
Timelines,https://app.envato.com/search/graphic-templates/b928206f-7dbb-46b2-8800-397127e78975,Roadmaps Infographic,no,10,"AI, EPS",no,Roadmaps Milestone Timeline Infographic Introducing the Roadmaps Milestone Timeline Infographic - Tr
Timelines,https://app.envato.com/search/graphic-templates/bb24d514-f276-4239-8675-d1b47ff43231,Roadmap Infographics,no,8,"AI, EPS",no,Features: *8 Infographic Assets *AI & EPS Formats *Vector Approved *Well-Organized Layers *Fully Cus
Timelines,https://app.envato.com/search/graphic-templates/adb1445d-5067-44b8-9426-72ca28b13870,Business Infographic Roadmap TImeline Style,no,1,"AI, EPS, JPG, PDF, PSD, SVG",no,Business Infographic Roadmap TImeline Style is an infographic business template that suitable for yo
Timelines,https://app.envato.com/search/graphic-templates/567736b8-0145-4f8f-8c1f-605030e2230e,Timeline Roadmap Infographic,yes,5,"EPS, AI, FIG",no,This Timeline Roadmap Infographic template is made to help you explain ideas clearly with easy-to-fo
Timelines,https://app.envato.com/search/graphic-templates/d5437b29-4430-4fe0-bc8d-f7d78dfd0214,Timeline Infographics,no,1,"AI, EPS, FIG, JPG, PDF, SVG",no,"⏰ Chronicle your journey with Timeline Infographics. Craft engaging visuals that tell your story, ca"
Timelines,https://app.envato.com/search/graphic-templates/d3fd906d-1861-4df7-b15e-a39b9e481696,Timeline Infographics,yes,5,"AI, EPS, JPG, PDF",no,"Timeline Infographic Elements Design Files Include: AI – 3 AI Files for Illustrator CS, Illustrator "
Timelines,https://app.envato.com/search/graphic-templates/b7bdeabf-eb88-4cda-8f42-1dd9445e0acc,Timeline Infographics,yes,10,"AI, EPS, FIG, PSD",no,Timeline Infographics Present your data in a visually compelling and easy-to-understand format with 
Timelines,https://app.envato.com/search/graphic-templates/905d143e-f5ac-4677-8daa-492622e636cb,Timeline Infographics,no,8,"AI, EPS",no,Features: *8 Infographic Assets *AI & EPS Formats *Vector Approved *Well-Organized Layers *Fully Cus
Comparison,https://app.envato.com/search/graphic-templates/d27a3400-9e87-46a6-9bdd-ba35db439a65,Comparison Table Infographic,no,3,"AI, EPS, PDF",no,Evaluate features and specifications with this comparison table infographic vector template that org
Comparison,https://app.envato.com/search/graphic-templates/4e601fe1-19ea-40d6-b3d0-08d6df57fbe8,Prize Table Infographic Asset,no,8,"AI, EPS",no,Prize Table Infographic Asset Need an infographic to easily share your info? The Prize Table Infogra
Comparison,https://app.envato.com/search/graphic-templates/f463bc53-b982-43a8-8298-4146bdc343db,Comparison Table Infographics,no,1,AI,no,Comparison table infographic templates designed to highlight differences and similarities across top
Comparison,https://app.envato.com/search/graphic-templates/d561339b-4889-4416-9a96-cfa255bb7811,Comparison Table – Infographics Design,no,1,"AI, EPS, JPG, PNG, PSD",no,"An awesome, clean, high quality and professional Infographics Design. Awesome Infographics with awes"
Comparison,https://app.envato.com/search/graphic-templates/72291e0c-0f1c-4350-a5de-e729dd0b930e,Benefits of Water - Infographic,no,1,"AI, EPS, JPG, PDF",no,Benefits of Water - Infographic Infographic pre-made for easy designing the contents!! Feature : Dar
Comparison,https://app.envato.com/search/graphic-templates/57648a5b-55f8-4aba-9520-3acaf2f20b88,Step of Washing Hands Infographic,no,1,"AI, EPS, JPG, PDF, PNG, SVG",no,High quality vector illustration of Step of Washing Hands Infographic for your design elements. Feat
Comparison,https://app.envato.com/search/graphic-templates/e7c19b46-a894-4c8f-bc05-a7e1d37d7c76,Comparison Infographic,no,10,"AI, EPS",no,Comparison Infographic Introducing the Comparison Infographic - Transform your information into a vi
Comparison,https://app.envato.com/search/graphic-templates/f00ff311-c41e-49ab-bb51-95ce984cb27e,White Cyan Modern KPI Dashboard Infographic 004,no,3,"AI, EPS, PDF",no,"You can easily use this design for your presentation needed, and also you can save more time making "
Comparison,https://app.envato.com/search/graphic-templates/d6e7a3ce-9b4f-4abf-8a38-11979bb7b0aa,Matrix Infographic Asset,no,8,EPS,no,Matrix Infographic Asset Need an infographic to easily share your info? The Matrix Infographic Asset
Comparison,https://app.envato.com/search/graphic-templates/5197ed88-89b5-484d-9d0e-f34e44f4f741,Gradient Matrix Infographics,yes,3,"AI, EPS",no,Gradient Matrix - Infographics This set of infographics is designed for professionals and businesses
Comparison,https://app.envato.com/search/graphic-templates/d27a3400-9e87-46a6-9bdd-ba35db439a65,Comparison Table Infographic,no,3,"AI, EPS, PDF",no,Evaluate features and specifications with this comparison table infographic vector template that org
Comparison,https://app.envato.com/search/graphic-templates/a7434b98-3fe2-4af9-96da-a863f4ca309d,Pinnacle E-sports Leaderboard Ranking Dashboard,yes,5,FIG,no,Pinnacle is a premium gaming hub and leaderboard dashboard UI kit designed for competitive e-sports 